行号,工单ID,标题,内容,渠道,状态,预测队列,置信度,是否已改判,错误信息
1,133,测试工单标题 1,这是第 1 条测试工单的内容，描述用户遇到的问题。,email,成功,tech_support_queue,16.05%,否,
2,134,测试工单标题 2,这是第 2 条测试工单的内容，描述用户遇到的问题。,email,成功,tech_support_queue,16.05%,否,
3,135,测试工单标题 3,这是第 3 条测试工单的内容，描述用户遇到的问题。,email,成功,tech_support_queue,16.05%,否,
4,,测试工单标题 4,这是第 4 条测试工单的内容，描述用户遇到的问题。,invalid_channel,失败,,,否,不支持的渠道: invalid_channel
5,136,测试工单标题 5,这是第 5 条测试工单的内容，描述用户遇到的问题。,email,成功,tech_support_queue,16.05%,否,
6,137,测试工单标题 6,这是第 6 条测试工单的内容，描述用户遇到的问题。,email,成功,tech_support_queue,16.05%,否,
7,138,测试工单标题 7,这是第 7 条测试工单的内容，描述用户遇到的问题。,email,成功,tech_support_queue,16.05%,否,
8,,(空),这是第 8 条测试工单的内容，描述用户遇到的问题。,email,失败,,,否,"缺少必填字段: title, content, channel"
9,139,测试工单标题 9,这是第 9 条测试工单的内容，描述用户遇到的问题。,email,成功,tech_support_queue,16.05%,否,
10,140,测试工单标题 10,这是第 10 条测试工单的内容，描述用户遇到的问题。,email,成功,tech_support_queue,16.05%,否,
