title,content,channel,tags
系统登录失败,用户反馈登录时提示用户名或密码错误，但确认输入正确，多次尝试后账号被锁定，需要解锁,email,"technical_support,bug_report"
无法重置密码,点击忘记密码后，收不到验证码，垃圾邮件箱也检查过了没有，手机号也无法接收,phone,"account_management,security"
账单金额异常,本月账单金额比上月高出300%，没有额外消费记录，需要核实明细,web,"billing,refund_request"
功能建议,希望能增加批量导出功能，目前只能单个导出，工作量太大,app,"feature_request,product_inquiry"
服务态度投诉,客服人员回复不及时，态度敷衍，问题没有得到解决就结束了会话,wechat,"complaint,praise"
支付失败,使用支付宝支付时提示支付网关异常，已尝试多次均失败，余额充足,email,"billing,technical_support"
账号被盗,发现账号在异地登录，个人信息可能泄露，需要紧急冻结,phone,"account_management,security,cancellation"
页面加载缓慢,首页加载需要10秒以上，图片加载失败，网络正常，其他网站访问正常,web,"technical_support,bug_report"
套餐变更咨询,想了解目前有哪些优惠套餐，是否可以升级，升级费用如何计算,app,"product_inquiry,upgrade"
退款申请,购买的服务未使用，申请退款，按照协议应该可以全额退款,wechat,"refund_request,billing"
API接口报错,调用用户信息接口返回500错误，参数正确，之前一直正常使用,email,"technical_support,bug_report"
实名认证失败,上传身份证照片后一直显示审核中，已经超过3个工作日,phone,"account_management,security"
发票开具,需要开具增值税专用发票，请问需要提供什么资料，多久可以开出,web,"billing,general_question"
搜索功能优化,希望搜索能支持模糊匹配和拼音搜索，目前搜索不到想要的内容,app,"feature_request,product_inquiry"
退款到账慢,退款申请已经批准一周了，还没有到账，需要查询进度,wechat,"refund_request,billing,complaint"
数据导出异常,导出Excel文件时提示文件生成失败，数据量不大，只有100条左右,email,"technical_support,bug_report"
账号合并,有两个账号，想合并成一个，保留所有历史数据,phone,"account_management,general_question"
自动续费取消,想取消自动续费功能，找不到取消入口，担心会自动扣款,web,"billing,cancellation"
移动端适配问题,在iPhone 15上显示错位，按钮点击不到，影响正常使用,app,"technical_support,bug_report,accessibility"
产品使用咨询,新人报到，想了解如何快速上手，有没有新手教程,wechat,"product_inquiry,general_question"
登录验证码不显示,登录页面的验证码图片加载不出来，刷新多次也没用,email,"technical_support,bug_report,accessibility"
密码修改,想修改登录密码，确保账号安全，原密码记得,phone,"account_management,security"
账单明细查询,想查询近6个月的消费明细，需要导出做报销用,web,"billing,general_question"
深色模式建议,希望能增加深色模式，夜间使用时减少眼睛疲劳,app,"feature_request,accessibility"
虚假宣传投诉,广告宣传的功能实际没有，要求退款并赔偿,wechat,"complaint,refund_request"
文件上传失败,上传PDF文件时提示文件格式不支持，但说明书写着支持PDF,email,"technical_support,bug_report"
手机号换绑,原手机号不再使用，想更换绑定的手机号,phone,"account_management,security"
会员权益咨询,会员有哪些专属权益，如何升级到更高等级,web,"product_inquiry,upgrade"
多语言支持建议,希望能支持英文界面，方便海外用户使用,app,"feature_request,product_inquiry,accessibility"
扣款不成功,银行卡余额充足，但自动扣款失败，担心影响服务使用,wechat,"billing,technical_support"
系统崩溃,操作过程中突然闪退，数据丢失，重启后也无法恢复,email,"technical_support,bug_report"
注销账号,想永久注销账号，清除所有个人数据,phone,"account_management,cancellation,security"
优惠券使用,优惠券怎么使用，有没有使用限制，能不能叠加,web,"billing,general_question"
通知推送建议,希望能增加自定义通知时间段，晚上不想被打扰,app,"feature_request,product_inquiry"
客服电话打不通,连续拨打客服电话都是繁忙，等待时间超过30分钟,wechat,"complaint,general_question"
同步失败,多设备数据同步失败，手机和电脑显示的数据不一致,email,"technical_support,bug_report"
权限设置,如何设置子账号权限，限制某些功能的访问,phone,"account_management,security,general_question"
试用期结束,试用期快结束了，想了解正式版的价格和功能差异,web,"product_inquiry,upgrade,general_question"
数据备份建议,希望能增加自动备份功能，防止数据丢失,app,"feature_request,product_inquiry"
续费优惠,续费有没有老用户优惠，不想按原价续费,wechat,"billing,upgrade,refund_request"
浏览器兼容性问题,在Firefox浏览器上部分功能无法使用，Chrome正常,email,"technical_support,bug_report,accessibility"
账号激活,注册后收不到激活邮件，无法登录使用,phone,"account_management,general_question"
交易记录查询,某笔交易找不到记录，需要客服协助查询,web,"billing,general_question,technical_support"
快捷键支持建议,希望能增加键盘快捷键操作，提高工作效率,app,"feature_request,product_inquiry,accessibility"
信息泄露投诉,经常收到推销电话，怀疑是平台泄露了个人信息,wechat,"complaint,security,account_management"
缓存清理,手机端占用空间太大，想清理缓存，找不到入口,email,"technical_support,general_question"
身份信息更新,身份证过期了，需要更新身份信息,phone,"account_management,security"
套餐降级,目前的套餐功能用不上，想降级到基础版，节省费用,web,"billing,downgrade,general_question"
数据导入功能建议,希望能支持从其他平台导入数据，减少手动录入,app,"feature_request,product_inquiry"
退款被拒,退款申请被拒绝，想了解原因并申诉,wechat,"complaint,refund_request,billing"
